Self class,Target class
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","meat loaf, meatloaf"
gondola,wing
"lycaenid, lycaenid butterfly","cocker spaniel, English cocker spaniel, cocker"
"American coot, marsh hen, mud hen, water hen, Fulica americana",jacamar
lorikeet,fountain
"ballplayer, baseball player","Arabian camel, dromedary, Camelus dromedarius"
"ostrich, Struthio camelus",vault
cannon,"drilling platform, offshore rig"
"long-horned beetle, longicorn, longicorn beetle",espresso maker
espresso,nail
"bobsled, bobsleigh, bob",strainer
"lycaenid, lycaenid butterfly","bakery, bakeshop, bakehouse"
"grand piano, grand","mailbox, letter box"
geyser,"pug, pug-dog"
library,safety pin
jay,"echidna, spiny anteater, anteater"
monastery,chainlink fence
espresso,paintbrush
barn,"medicine chest, medicine cabinet"
military uniform,necklace
buckle,"bobsled, bobsleigh, bob"
soup bowl,"chambered nautilus, pearly nautilus, nautilus"
jellyfish,leafhopper
mountain tent,radiator
basenji,"lipstick, lip rouge"
"thatch, thatched roof",envelope
"cliff, drop, drop-off",wok
park bench,"gar, garfish, garpike, billfish, Lepisosteus osseus"
jellyfish,crane
"pizza, pizza pie",safety pin
gazelle,collie
iPod,potter’s wheel
reflex camera,"heck, sports car, sport car"
"groom, bridegroom",ski mask
castle,"heck, moped"
pole,conch
football helmet,"cockroach, roach"
castle,"solar dish, solar collector, solar furnace"
football helmet,fountain
freight car,baseball
pier,earthstar
dung beetle,"scale, weighing machine"
castle,"perfume, essence"
"cliff, drop, drop-off","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
running shoe,"seat belt, seatbelt"
"gasmask, respirator, gas helmet","fox squirrel, eastern fox squirrel, Sciurus niger"
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",pillow
"spider web, spider’s web",face powder
dough,hummingbird
dome,"tiger shark, Galeocerdo cuvieri"
snail,corn
turnstile,bison
steel arch bridge,triceratops
"gorilla, Gorilla gorilla","porcupine, hedgehog"
"restaurant, eating house, eating place, eatery",shower curtain
"racket, racquet",nipple
reflex camera,"chambered nautilus, pearly nautilus, nautilus"
"prison, prison house",Chesapeake Bay retriever
"wallet, billfold, notecase, pocketbook",bittern
"African crocodile, Nile crocodile, Crocodylus niloticus",jellyfish
"bald eagle, American eagle, Haliaeetus leucocephalus","clog, geta, patten, sabot"
stone wall,"French horn, horn"
"carousel, carrousel, merry-go-round, roundabout, whirligig","rocking chair, rocker"
"brass, memorial tablet, plaque","Indian elephant, Elephas maximus"
"candle, taper, wax light",CD player
drake,screwdriver
speedboat,"stupa, tope"
"grocery store, grocery, food market, market",fireboat
"greenhouse, nursery, glasshouse",dough
"lampshade, lamp shade","heck, fire engine, fire truck"
trombone,scorpion
"heck, jeep, landrover","coil, spiral, volute, whorl, helix"
"bannister, banister, balustrade, balusters, handrail",barbell
"cornet, horn, trumpet, trump","pirate, pirate ship"
sarong,trifle
"parachute, chute",wig
menu,catamaran
"heck, cab, hack, taxi, taxicab",rifle
hummingbird,coffee mug
"seashore, coast, seacoast, sea-coast",otter
"redshank, Tringa totanus",English foxhound
kelpie,"Indian elephant, Elephas maximus"
freight car,"chain saw, chainsaw"
"heck, fire engine, fire truck",waffle iron
burrito,"gasmask, respirator, gas helmet"
"buckeye, horse chestnut, conker",snorkel
tile roof,golf ball
crane,"picket fence, paling"
speedboat,tarantula
"refrigerator, icebox",maraca
scabbard,bath towel
rapeseed,marmoset
"theater curtain, theatre curtain",reel
"bagel, beigel","black and gold garden spider, Argiope aurantia"
jack-o’-lantern,"车 check, moving van"
trench coat,"heck, streetcar, tram, tramcar, trolley, trolley car"
"heck, minivan",buckle
"washer, automatic washer, washing machine","common newt, Triturus vulgaris"
carbonara,"buckeye, horse chestnut, conker"
carbonara,sunglass
barbell,"hot pot, hotpot"
toaster,"rubber eraser, rubber, pencil eraser"
manhole cover,"tiger, Panthera tigris"
"megalith, megalithic structure","wool, woolen, woollen"
"garter snake, grass snake",window screen
analog clock,"French horn, horn"
canoe,spatula
basketball,"iron, smoothing iron"
"bannister, banister, balustrade, balusters, handrail","television, television system"
"red-backed sandpiper, dunlin, Erolia alpina",wooden spoon
"cinema, movie theater, movie theatre, movie house, picture palace",croquet ball
freight car,tennis ball
airliner,"heck, fire engine, fire truck"
"标 check, grille, radiator grille",fur coat
"bakery, bakeshop, bakehouse","junco, snowbird"
dome,hammer
rugby ball,"scale, weighing machine"
stage,"dogsled, dog sled, dog sleigh"
"bearskin, busby, shako",bath towel
marmot,soup bowl
"American alligator, Alligator mississipiensis","disk brake, disc brake"
"long-horned beetle, longicorn, longicorn beetle","heck, moped"
"loggerhead, loggerhead turtle, Caretta caretta",acorn squash
"pedestal, plinth, footstall",red wine
car mirror,"seashore, coast, seacoast, sea-coast"
beer glass,power drill
fly,"Siamese cat, Siamese"
"buckeye, horse chestnut, conker","kit fox, Vulpes macrotis"
"heck, convertible",paintbrush
matchstick,acorn squash
"hog, pig, grunter, squealer, Sus scrofa","black widow, Latrodectus mactans"
"grocery store, grocery, food market, market",soap dispenser
palace,"clumber, clumber spaniel"
street sign,"promontory, headland, head, foreland"
geyser,"brassiere, bra, bandeau"
"ant, emmet, pismire","Irish setter, red setter"
"upright, upright piano","artichoke, globe artichoke"
"washer, automatic washer, washing machine",table lamp
coral reef,French loaf
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM","golfcart, golf cart"
bee,"zucchini, courgette"
"lampshade, lamp shade",German short-haired pointer
slug,wig
car mirror,"prayer rug, prayer mat"
bubble,missile
carton,"teddy, teddy bear"
"pay-phone, pay-station",printer
triumphal arch,stage
Dutch oven,"bookshop, bookstore, bookstall"
"heck, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",planetarium
"thatch, thatched roof","violin, fiddle"
car wheel,"microphone, mike"
"worm fence, snake fence, snake-rail fence, Virginia fence",power drill
umbrella,rain barrel
weevil,"rock python, rock snake, Python sebae"
"candle, taper, wax light",airliner
"bow tie, bow-tie, bowtie","starfish, sea star"
otter,ski mask
centipede,"drum, membranophone, tympan"
"megalith, megalithic structure",magpie
"bell cote, bell cot",crate
jellyfish,"loupe, jeweler’s loupe"
"mailbox, letter box",Rottweiler
alp,teapot
"seat belt, seatbelt",paintbrush
cheeseburger,broom
"heck, minivan",gondola
Crock Pot,cassette
"container ship, containership, container vessel",alp
toyshop,"dam, dike, dyke"
vulture,window screen
throne,"harvester, reaper"
"cinema, movie theater, movie theatre, movie house, picture palace","heck, passenger car, coach, carriage"
crash helmet,"swimming trunks, bathing trunks"
"restaurant, eating house, eating place, eatery",screwdriver
toyshop,consomme
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
triumphal arch,"ice cream, icecream"
"carousel, carrousel, merry-go-round, roundabout, whirligig","guinea pig, Cavia cobaya"
"mantis, mantid",shower curtain
"heck, jeep, landrover",bubble
"wool, woolen, woollen",barometer
"church, church building","heck, jeep, landrover"
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
stone wall,"dial telephone, dial phone"
"pot, flowerpot",hourglass
suspension bridge,"book jacket, dust cover, dust jacket, dust wrapper"
"church, church building","ground beetle, carabid beetle"
soccer ball,consomme
"lycaenid, lycaenid butterfly",printer
park bench,"heck, electric locomotive"
"dishrag, dishcloth",basketball
"tank, army tank, armored combat vehicle, armoured combat vehicle","axolotl, mud puppy, Ambystoma mexicanum"
"grasshopper, hopper",oil filter
plate,pickelhaube
Granny Smith,library
"Indian elephant, Elephas maximus","brassiere, bra, bandeau"
yurt,"dining table, board"
rugby ball,"racer, race car, racing car"
"organ, pipe organ",stretcher
"流, valley, vale","标 check, grille, radiator grille"
vault,"file, file cabinet, filing cabinet"
goblet,mud turtle
soccer ball,fur coat
monastery,"heck, jeep, landrover"
school bus,"cornet, horn, trumpet, trump"
carbonara,sleeping bag
wing,fig
honeycomb,snail
"American egret, great white heron, Egretta albus",volleyball
"warplane, military plane",magpie
"bannister, banister, balustrade, balusters, handrail","radio, wireless"
"流, valley, vale",mashed potato
"starfish, sea star",syringe
paintbrush,"panpipe, pandean pipe, syrinx"
"车 check, moving van",maypole
"mailbox, letter box","remote control, remote"
shoji,mixing bowl
"prayer rug, prayer mat","sunglasses, dark glasses, shades"
steel arch bridge,projector
"traffic light, traffic signal, stoplight",macaw
"heck, passenger car, coach, carriage","pencil box, pencil case"
school bus,hatchet
toilet seat,triceratops
"heck, convertible",waffle iron
sea lion,cradle
"horse cart, horse-cart","traffic light, traffic signal, stoplight"
banana,"squirrel monkey, Saimiri sciureus"
