ImageId,TrueLabel,TargetClass
0c7ac4a8c9dfa802,305,778
f43fbfe8a9ea876c,883,377
4fc263d35a3ad3ee,243,122
cc13c2bc5cdd1f44,559,740
73a52afd2f818ed5,438,695
58f0fd17c4a0e25a,990,99
90e11aa7c36c64f2,949,0
696f0f6bea562bf8,853,266
df58f94361c6d105,609,12
1394faa319bd353c,609,506
6cae4a23623d142b,582,439
d02adcb9140880a1,915,782
71080285ad6cb4e9,455,477
137ab6ca314e9e35,619,555
c819099fed6f0d73,961,776
4b384c8247b56c0a,541,924
62ebd5f7ce015380,630,691
f24817d66024dfb6,741,739
1b57d7bbd673c771,422,926
a2de1f4f2c1021fa,455,184
3e7b01ba495f15f9,707,409
1a264165276e3c85,854,758
bc9a5e01c02e759e,922,17
01bdc0cfe670f708,471,540
6af829a442e2e0e7,129,230
493694833dc23399,537,834
6ac94c9244f84aa3,672,335
7529b42e71769777,476,617
d204464fcf15ad99,299,268
7fd7ce3eb2bf9944,99,112
303781188f1b3b27,476,338
67967c9db11151e0,251,819
fa2a7d600b62174e,520,571
cd2d2889ef7ac51c,923,606
11954d93a7051cb5,22,502
03f90f7138f761e8,663,489
19935b1c0a4d305d,760,641
9cf861a657c27cec,582,896
05817a675e7506d1,672,753
e1c702ed9842dd1c,692,756
e7cafac174e90143,525,115
1a680f33500acb4b,931,72
81ddbe14219e9dcf,317,671
04cb9de291399d15,464,450
23f9d18d531eb148,478,850
63f2e14ab6be82cf,667,693
0dffbfa7ba43cb90,961,94
a97274c7e80a1764,865,925
85e2eea48d912d31,805,135
ff5182599937c1ec,324,209
4bb12984b41d0834,33,7
150249123e81930d,922,484
f963957ccfa82f6b,142,7
890fdaf4e1892e00,312,691
9a1c67f467b9beea,302,89
217597258ac12258,582,804
346c5575b60194c3,948,624
296033c3a5910845,360,796
3a7d9bd310202e93,789,659
56e9d5f63cfc507e,440,623
602f2c3749d6021e,746,105
7c754696067fdfa9,764,468
8f5eda0b6a910b43,949,917
89119361e9d9e02d,480,472
da63f2acf683c0a7,133,616
741fc1a3fc08731d,792,399
d77af00930283f4b,900,648
97151fe7a0a6e2e3,733,227
393d40f3a6a79400,327,845
8f5e0855ca8de8ea,467,715
d72f34526e12fd83,441,324
957529a2abaa0581,882,647
3bd1ba0432603b28,920,88
3228a465697fb2cf,839,921
871c99d5658c3189,955,586
1733cbc68a2ae05d,555,891
69a3493d13953e1f,519,406
8a82ddd7ab76efbb,510,907
e95ef0aeeab7b496,888,859
8555611998ea426a,990,496
1cc2caf8e5db27c3,430,606
a00c8d22e63497c4,430,891
4f553b721705d008,396,2
f1ce339a44d7a118,97,701
2153d9869fb5a9ef,644,941
7506caf0a49c3951,78,723
1d4133f5bc7af193,140,910
fd26c4733822dfcc,362,450
60f5900a00d94b25,705,557
79f953be91aa8ce2,659,587
d9da4e5ef53d5e8b,640,486
0411ca972e637297,967,696
92dbb18dd447fd75,489,193
65251969959ce0e6,937,836
b76e552d4b3ec0c3,991,190
